date,predicted_value,lower_bound,upper_bound,trend,model_run_date
2017-09-01,46073.626526514825,34520.17067148398,60593.92866993893,11.83843640058577,2025-11-26 22:56:22
2017-09-02,31150.88033202386,23664.075546720916,40501.09435671375,11.830968232943672,2025-11-26 22:56:22
2017-09-03,29797.407721896583,22891.815682241293,39965.315016205954,11.823500065301577,2025-11-26 22:56:22
2017-09-04,37835.020147785115,28967.69563635963,50102.01322969469,11.816031897659478,2025-11-26 22:56:22
2017-09-05,33840.408997450766,25734.635692375414,44015.13294068335,11.808563730017381,2025-11-26 22:56:22
2017-09-06,28291.56345889023,21163.147699649355,37344.97588275336,11.801095562375282,2025-11-26 22:56:22
2017-09-07,19029.260826925314,14728.957556168838,25004.382101900883,11.793627394733187,2025-11-26 22:56:22
2017-09-08,22046.73617484545,16617.979319363538,29259.767075999986,11.786159227091089,2025-11-26 22:56:22
2017-09-09,16355.20424141498,12423.164646899162,21194.957238798987,11.77869105944899,2025-11-26 22:56:22
2017-09-10,17141.03378372897,12916.478492096141,22706.42972905528,11.771222891806891,2025-11-26 22:56:22
2017-09-11,23786.374535099658,18119.120619253346,31177.824192185562,11.763754724164796,2025-11-26 22:56:22
2017-09-12,23227.142908246253,17731.402420259874,30408.48323215635,11.756286556522697,2025-11-26 22:56:22
2017-09-13,21126.617837681995,15812.168462681086,27908.762067122963,11.748818388880599,2025-11-26 22:56:22
2017-09-14,21446.161939299604,16204.67631830631,28049.283732918757,11.7411245289365,2025-11-26 22:56:22
2017-09-15,19169.686104017124,14468.098131404056,25613.438763930622,11.733430668992401,2025-11-26 22:56:22
2017-09-16,15211.831256045274,11401.453863164457,19852.626762864886,11.725736809048302,2025-11-26 22:56:22
2017-09-17,16904.394810132904,13070.216828440094,22734.3709277084,11.7180429491042,2025-11-26 22:56:22
2017-09-18,24650.68078587721,18635.654666947157,32577.144499597533,11.710349089160102,2025-11-26 22:56:22
2017-09-19,25133.85738979767,18961.721126604672,33227.26286603233,11.702655229216003,2025-11-26 22:56:22
2017-09-20,23685.814545721674,17713.027642681118,30628.7917104005,11.694961369271901,2025-11-26 22:56:22
2017-09-21,24705.189712934076,18802.55698412788,32603.998292381115,11.687267509327802,2025-11-26 22:56:22
2017-09-22,22527.299450691156,17421.95586484369,29897.97630151394,11.679573649383704,2025-11-26 22:56:22
2017-09-23,18111.601649847053,13886.26467200981,23746.52206540396,11.671879789439602,2025-11-26 22:56:22
2017-09-24,20220.651395343208,15120.581949260573,26714.703602032907,11.664185929495503,2025-11-26 22:56:22
2017-09-25,29402.72467220656,22272.453939890314,38716.897914805006,11.65649206863716,2025-11-26 22:56:22
2017-09-26,29778.287179116367,22250.69247425147,38859.37929128293,11.648798207778817,2025-11-26 22:56:22
2017-09-27,27753.638588844315,20936.39949755852,36142.313220955075,11.641104346920475,2025-11-26 22:56:22
2017-09-28,28505.508142233622,21492.722892489146,37591.468562295166,11.63341048606213,2025-11-26 22:56:22
2017-09-29,25534.663677868964,19272.77195959966,33965.4729527906,11.625716625203788,2025-11-26 22:56:22
2017-09-30,20137.00714210943,15621.661857563931,26849.966975039686,11.618022764345445,2025-11-26 22:56:22
2017-10-01,21991.181149312255,16526.904166064327,28841.452895110637,11.610328903487103,2025-11-26 22:56:22
2017-10-02,31227.51748997233,23346.0121802495,40621.748997337774,11.60263504262876,2025-11-26 22:56:22
2017-10-03,30946.540828102392,23456.381924607995,40883.57367640492,11.594941181770414,2025-11-26 22:56:22
2017-10-04,28261.611865206363,21640.193246889543,37786.74237481663,11.587247320912072,2025-11-26 22:56:22
2017-10-05,28475.11831910932,21616.971640243093,37144.95555775932,11.579553460053729,2025-11-26 22:56:22
2017-10-06,25090.135651608693,18948.853510231304,32921.02660165549,11.571859599195387,2025-11-26 22:56:22
2017-10-07,19522.04771060535,14666.423831244474,25420.861871695583,11.564165737412845,2025-11-26 22:56:22
2017-10-08,21060.11934235989,15847.035246597241,27217.585273903325,11.556471875630303,2025-11-26 22:56:22
2017-10-09,29590.13646666094,22253.80116390196,39220.86317868114,11.548778013847759,2025-11-26 22:56:22
2017-10-10,29147.788074284425,22331.10412453798,38088.08414108677,11.541084152065217,2025-11-26 22:56:22
2017-10-11,26544.48915293928,20245.882686471105,35523.705043590424,11.533390290282675,2025-11-26 22:56:22
2017-10-12,22719.157388916406,17421.3938206778,30262.6729226915,11.52569642850013,2025-11-26 22:56:22
2017-10-13,23611.277804719153,17853.52390215077,30658.379513618722,11.518002566717588,2025-11-26 22:56:22
2017-10-14,18467.551061645987,14143.478700014794,23931.76357917448,11.510308704935046,2025-11-26 22:56:22
2017-10-15,20032.018704618724,14983.925043485231,26007.53130083188,11.502614843152504,2025-11-26 22:56:22
2017-10-16,28304.55177356904,21430.804292232853,37030.51394792233,11.494920981369962,2025-11-26 22:56:22
2017-10-17,28112.479639712783,21066.62638551851,37167.51677606638,11.487227119587418,2025-11-26 22:56:22
2017-10-18,25837.513726454206,19348.441339850393,33472.62288566847,11.479533257277218,2025-11-26 22:56:22
2017-10-19,26249.19620879599,19659.35012325988,35159.45761773416,11.47183939496702,2025-11-26 22:56:22
2017-10-20,23402.037784552213,17738.776029726436,31440.66332081926,11.46414553265682,2025-11-26 22:56:22
2017-10-21,18474.24465365083,13926.98206591375,24797.892353174655,11.456451670346622,2025-11-26 22:56:22
2017-10-22,20178.33500907099,15405.567655249646,26747.04814806714,11.448757808036422,2025-11-26 22:56:22
2017-10-23,28644.233172396096,21908.16552878297,37749.12991493624,11.441063945726224,2025-11-26 22:56:22
