date,predicted_value,lower_bound,upper_bound,trend,model_run_date
2018-09-04,3080.4098815001207,2388.6503141395406,4017.48509934458,9.015676393425144,2025-11-28 21:23:03
2018-09-05,2653.170236476089,2008.6230760768965,3510.449588074229,9.0078954448152,2025-11-28 21:23:03
2018-09-06,2492.3876872312167,1932.186242268804,3249.139347769086,9.000114496205256,2025-11-28 21:23:03
2018-09-07,1656.537559803055,1274.588201262273,2201.392827919716,8.992333547595313,2025-11-28 21:23:03
2018-09-08,1675.4351142173016,1264.0777627523203,2152.5336815388187,8.984552598985369,2025-11-28 21:23:03
2018-09-09,1714.8331520016432,1305.8546457892646,2267.844571471202,8.976771650375424,2025-11-28 21:23:03
2018-09-10,2158.085605427028,1641.7752118005774,2843.0570950553156,8.968990701765481,2025-11-28 21:23:03
2018-09-11,2085.664905481449,1588.1965992566672,2706.8208552519523,8.961209753155536,2025-11-28 21:23:03
2018-09-12,1921.6158319030737,1468.7012239815888,2521.5030116484204,8.953428804545593,2025-11-28 21:23:03
2018-09-13,1925.5508100555749,1495.179780814303,2530.926943103864,8.94564785593565,2025-11-28 21:23:03
2018-09-14,1754.804299471987,1340.7530125768646,2284.30653577578,8.937866907325706,2025-11-28 21:23:03
2018-09-15,1460.2290094136238,1121.3051876208156,1885.8014508065946,8.930085958715763,2025-11-28 21:23:03
2018-09-16,1575.0768835579572,1198.3828756116475,2064.1383743144315,8.922305010105818,2025-11-28 21:23:03
2018-09-17,2075.815977664769,1552.3885190252215,2697.908844482221,8.914524061495875,2025-11-28 21:23:03
2018-09-18,2092.7499429746235,1580.462906093482,2740.26641039823,8.90674311288593,2025-11-28 21:23:03
2018-09-19,2000.40127635097,1593.0402419003717,2696.594521328922,8.898962164275988,2025-11-28 21:23:03
2018-09-20,2066.2865727639078,1569.900458736929,2673.778864935118,8.891181215666043,2025-11-28 21:23:03
2018-09-21,1930.7086002566887,1454.2983513674073,2583.3413455812915,8.8834002670561,2025-11-28 21:23:03
2018-09-22,1638.543846295598,1258.0520063115384,2129.122142286893,8.875619318446155,2025-11-28 21:23:03
2018-09-23,1789.4978047968968,1362.8002878660657,2331.5117082444003,8.867838369836212,2025-11-28 21:23:03
2018-09-24,2372.1457377317815,1817.812809124447,3050.481482536765,8.860057421226267,2025-11-28 21:23:03
2018-09-25,2397.4572502646115,1834.6767586607295,3177.4178580866987,8.852276472616325,2025-11-28 21:23:03
2018-09-26,2287.8082370804163,1753.4500609315921,3009.850685389436,8.844495524006382,2025-11-28 21:23:03
2018-09-27,2348.7219751927596,1769.6123462634969,3073.1869521135145,8.836714575396439,2025-11-28 21:23:03
2018-09-28,2175.1891475681614,1688.8756586654758,2874.632569092254,8.828933626786492,2025-11-28 21:23:03
2018-09-29,1825.7247548492712,1380.943808593734,2439.7930302928676,8.821152678176551,2025-11-28 21:23:03
2018-09-30,1964.714814006103,1493.5253338974378,2543.014211261758,8.813371729566605,2025-11-28 21:23:03
2018-10-01,2465.856865446255,1854.4762379890255,3217.745282257542,8.805590780956663,2025-11-28 21:23:03
2018-10-02,2451.044349638622,1881.1192413473054,3277.4221252065086,8.797809832346719,2025-11-28 21:23:03
2018-10-03,2300.4561901967563,1731.400517747957,3005.241853613596,8.790028883736776,2025-11-28 21:23:03
